id,title,date,attendees,summary,discussionpoints,actions
MM-11,Week 10-1 Check-in Before Supervisor Meeting,08-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Check-in meeting before seeing supervisor to confirm prototype status and demo flow.,"Confirmed all Week 9 components are implemented in a working webpage prototype; prototype now links NLP + GeoParser, recommender, and explainability; reviewed wireframes and consolidated links; rehearsed a short demo flow.",All: review demo script once more before supervisor meeting; Nevin: prepare explanation of NLP/GeoParser behaviour; Brian: prepare explanation of recommender stack and ranking logic.
MM-12,Week 10-2 Supervisor Prototype Review Meeting,10-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun; Supervisor (Mr Tian)",Supervisor review of current prototype and expectations for upcoming prototype demo.,"Supervisor noted missing spatial aspects and suggested embedding a map and showing user's current location; stressed handling different spatial granularities (walking vs driving); listed minimum enhancements before demo: current location, map integration, spatial granularity, some live interaction; said optional CRUD can stay in wireframes; emphasised that prototype, documentation, and presentation must stay consistent and fully reflect a multi-level spatial, textual, explainable recommender; reminded team to capture assessor feedback in later demo.","Prepare an updated prototype plan that includes map, location, and spatial granularity; start adjusting PRD, Technical Manual, and slides to reflect new spatial requirements; plan how to redistribute workload after the meeting."
MM-13,Week 10-3 Internal Follow-up After Supervisor Review,10-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Internal follow-up meeting after supervisor review to break down tasks and prepare for prototype demo.,"Re‑stated that prototype must include spatial features and documentation must match it; broke down tasks so Nevin handles current location and map integration, Brian refines recommender and spatial granularity, Jiahui sets up database in Postgres/Supabase, and Dillon & Seoyoun update documents and slides and proofread; all members to ensure overall coherence for demo.",Dillon & Seoyoun: update documentation and slides and check consistency with spatial prototype; Nevin: implement current location feature and map integration; Jiahui: complete database implementation; Brian: integrate map output with ranking flow and tune spatial granularity; All: rehearse prototype demo and prepare to record assessor comments.
MM-14,Week 11-1 Mid-point Presentation Preparation Meeting,15-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Mid-point presentation preparation meeting; Finalise flow of mid-point presentation.; Confirm demo script and roles.; Run-through rehearsal plan and contingencies.,"Team aligned on the narrative; Confirmed presentation structure; Agreed to keep technical depth readable for assessor while highlighting novelty and spatial reasoning.; Rehearsed demo flow and identified risks; Decisions: Finalise script before 16 Dec.; Demo should prioritise stable features that best match project description.; Team to record assessor comments carefully during the presentation.; Milestone: Mid-point presentation on 16 Dec.; Status: On-track; rehearsal and alignment completed; Notes: Focus on mid-point presentation readiness, keeping the story consistent: problem -> prompt -> Top-K POI output -> map/location -> explainability. Confirmed each speaker section and backup plan if any module fails (fallback screenshots and fixed prompts). Emphasised that assessor questions may target spatial realism and personalisation, so the demo should highlight walking vs driving granularity and clear reasoning for each recommendation. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",All: Final rehearsal before 16 Dec presentation.; Brian: Ensure recommender demo is stable and repeatable.; Nevin: Prepare explanation for spatial elements/onboarding flow if shown.; Dillon & Seoyoun: Ensure slides and documentation match the prototype flow.; Jiahui: Ensure backend/database stability for demo.
MM-15,Week 11-2 Post Mid-point Presentation Debrief Meeting,16-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Post mid-point presentation debrief; Consolidate assessor comments; Identify gaps vs expectations.; Convert feedback into a concrete to-do list.,"Reviewed assessor reactions and clarified what needs improvement for final presentation quality.; Key direction: strengthen realism and user-modelling signals in recommender; ensure workflow scenarios are consistent with user stories.; Noted that comments must be tracked and referenced later to show actions taken.; Decisions: Adopt assessor feedback as the roadmap for the next development sprint.; Assign responsibilities so each feedback item; Milestone: Continue building toward final submission and final presentation.; Status: On-track; feedback captured and converted into tasks.; Notes: Converted assessor feedback into implementable tasks and tracked them as backlog items. Noted that final assessment will look for realism and user modelling, so added visit-frequency and clearer workflow scenarios. Agreed that any feedback item must be traceable: what was said, what was changed, and where it appears in the prototype and documentation. Also identified integration risks (ranking changes affecting explanations and database queries). Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.","Brian: Include ""times visited / visit frequency"" into recommender algorithm.; Dillon: Update WBS to reflect new tasks and revised workload.; Jiahui: Refine Supabase/database layer for stability.; Seoyoun/Nevin: Update documentation to include supervisor recommendations; clarify business partner update approval user story."
MM-16,Week 11-3 Post-Feedback Planning And Sprint Kickoff Meeting,18-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Post-feedback planning and sprint kickoff; Confirm revised WBS and sprint priorities.; Clarify updated user story logic (approval workflow).; Align technical changes with documentation and demo.,"WBS adjustments.; Clarified approval workflow: when business partner updates details; ensure consistency in documentation and prototype.; Confirmed that recommender refinements and onboarding recalculation support; Decisions: Lock sprint priority: recommender improvements -> onboarding/recalculation -> database stability -> documentation updates.; All changes to be reflected consistently in documentation and later presentations.; Milestone: Post-midpoint improvements required for final submission quality.; Status: On-track; sprint launched with defined ownership.; Notes: Sprint kickoff meeting to lock priorities and avoid scope creep after mid-point. Clarified approval workflow logic so business partner edits do not break consistency in screens, user stories, and demo. Confirmed that onboarding or recalculation changes must still preserve stable Top-K output for demo runs. Agreed to reflect sprint progress in WBS and keep evidence (screenshots, short notes, commits) for later reporting. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Brian: Implement/experiment with visit-frequency feature; Jiahui: Refine Supabase schema/APIs; Seoyoun/Nevin: Update documentation and user stories to reflect approval workflow and supervisor feedback.; Dillon: Update work breakdown structure
MM-17,Week 12 Development Progress Meeting,23-12-25,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Development progress meeting; Review progress on assigned feedback tasks.; Confirm WBS fulfilment; Identify blockers and integration dependencies.,"WBS fulfilment and tracked tasks by owner and deadline.; Brian: recommender refinement ongoing; tuning required after adding/considering visit-frequency signals.; Jiahui: stabilised Supabase usage and progressed frontend; implemented authentication foundations.; Seoyoun/Nevin: developed real-time onboarding and embedding recalculation concept; refined interaction triggers.; Decisions: Keep focus on completing core recommender improvements before secondary features.; Prioritise stability and correctness over adding features; Milestone: Build toward Assessment 2 submission quality and final presentation readiness.; Status: On-track; progress steady; Notes: Reviewed progress on each feedback task and checked dependencies across components (Supabase schema, ranking signals, onboarding triggers). Discussed how visit-frequency will be represented, stored, and used in ranking, and how explanations should mention the signal without over-claiming. Confirmed that stability matters more than new features, and planned incremental integration tests rather than large merges. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Dillon: Continue WBS tracking; update documentation; Brian: Continue recommender tuning; define measurable improvement target.; Jiahui: Continue Supabase + authentication refinement; ensure consistent data flow.; Seoyoun/Nevin: Continue onboarding + embedding recalculation; document triggers/workflow.
MM-18,Week 13 Refinement And Packaging Meeting,02-01-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Refinement and packaging meeting; Confirm recommender and onboarding progress.; Project website creation.; Review frontend/auth progress and integration risks.,"Brian continued recommender refinement and integration logic; remaining tuning needs noted.; Dillon began project website creation for administrative updates and marketing.; Jiahui refined frontend development and authentication flow; aligned Supabase schema with user actions.; Nevin/Seoyoun refined onboarding and embedding recalculation, focusing on responsiveness and correctness.; Decisions: Website to be completed before Week 14 milestone meeting (9 Jan).; Maintain prototype-documentation consistency during integration.; Milestone: Week 14 integration checkpoint (9 Jan).; Status: On-track; packaging (website) progressing alongside technical refinement.; Notes: Packaging focus alongside refinement: website structure for administrative updates, meeting minutes uploads, and marketing story. Reviewed auth and onboarding integration risks, including user state, preference capture, and when to recompute embeddings. Planned to keep website content aligned with slide narrative and avoid conflicting feature claims. Agreed to prepare a simple publishing workflow so updates remain consistent and easy to review. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Dillon: Website build and polishing; prepare structure for minutes uploads and marketing sections.; Brian: Continue recommender refinement and integration testing.; Jiahui: Finalise core authentication flow and connect to backend.; Seoyoun/Nevin: Continue onboarding/recalculation refinement; prepare short documentation explanation.
MM-19,Week 14 Integration Checkpoint Meeting,09-01-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun","Integration checkpoint meeting; Review integration progress (recommender, onboarding, auth).; Start packaging deliverables (slides, user manual, test plan).","Brian: code integration + recommender refinement continues.; Jiahui: finalised user authentication and onboarding baseline;; Nevin/Seoyoun: finalised real-time onboarding and embedding recalculation.; Nevin started presentation slides.; Dillon: finalise website/ to start User Manual.; Decisions: Begin formal packaging phase: slides + user manual + test plan + documentation alignment.; Milestone: Progress toward Feb submission requires stable integrated build and aligned documentation.; Status: On-track; packaging phase initiated.; Notes: Integration checkpoint across recommender, onboarding, and authentication. Identified issues that can cause demo instability (inconsistent user state, missing POI attributes, API latency) and agreed to fix blockers early. Started formal deliverables packaging: slide deck flow, user manual steps, and test plan. Emphasised cross-checking screenshots and wording to match what the prototype actually shows. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.","All: Check consistency across prototype, documentation, slides, and manual.; Brian/Jiahui: Continue integration and reduce defects.; Nevin: Continue slides developmen; Dillon/Seoyoun: Continue User Manual and ensure it matches workflow."
MM-20,Week 15 Overall Progress Review And Completion Planning Meeting,16-01-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Overall progress review and completion planning; Review overall progress and identify remaining gaps.; Confirm buffer week needed to complete integration/deliverables.; Align timeline for slides/manual/docs completion.,"Reviewed progress; major components exist but more time needed to stabilise and complete integration and documentation polish.; Continued work streams: recommender refinement, onboarding/auth improvements, slides/manual/docs polish, testing verification.; Decisions: Allocate additional buffer week to complete and stabilise before final testing.; Emphasise consistency and readiness over adding new features.; Milestone: Transition into final testing/stabilisation phase soon.; Status: Buffer week agreed and workload adjusted.; Notes: Overall progress review with decision to add a buffer week for stabilisation. Confirmed that remaining work is mostly integration polish, documentation completeness, and testing evidence, not new features. Discussed prioritising defect reduction and consistent behaviour across repeated runs. Agreed to finalise slide content early enough for multiple rehearsals and timing control. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Brian/Jiahui: Continue integration and resolve issues in onboarding/auth and recommender consistency.; Nevin: Progress slides from structure to near-complete draft.; Dillon: Expand User Manual and add screenshots/steps where possible.; Jiahui: Continue documentation edits and strengthen test execution checklist.
MM-21,Week 16 Documentation And Deliverables Polish Meeting,22-01-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Documentation and deliverables polish meeting; Tweak documentation based on integrated build.; Progress slides and begin video work.; Confirm onboarding process stability for final testing.,"Documentation tweaks required as integration matured; keep docs/manual/prototype consistent.; Brian/Jiahui: continued integration and onboarding improvements.; Nevin: slides refinement.; Seoyoun: progressed project video.; Dillon: documentation updates and presentation slides assistance.; Decisions: Documentation changes to be controlled to avoid inconsistencies near final testing.; Move toward final testing checklist readiness in Week 17.; Milestone: Enter final testing and stabilisation in Week;; Status: On-track; polishing progressing.; Notes: Documentation polish meeting to update manual/docs based on the integrated build, while controlling changes to avoid last-minute inconsistencies. Discussed slide pacing and starting video work, ensuring the video supports the marketing story without contradicting the technical demo. Confirmed that onboarding stability and expected outputs should be captured in the testing checklist for Week 17. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Brian/Jiahui: Stabilise build and resolve remaining defects.; Nevin: Prepare near-final slide deck draft suitable for rehearsal.; Seoyoun: Continue video production; Jiahui: Prepare final testing checklist and ensure documentation reflects expected outcomes.
MM-22,Week 17 Final Testing And Code Stabilisation Meeting,30-01-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun",Final testing and code stabilisation meeting; Review final testing status and defects.; Confirm code stabilisation efforts.; Progress user manual and video readiness.,"Brian/Jiahui: code stabilisation (bug fixes, performance consistency, integration stability).; Seoyoun: project video progress.; Nevin: slide improvements and overall support.; Decisions: Stop feature additions; only fixes and stabilisation.; Summarise final testing outcomes for documentation.; Milestone: Prepare for cleanup and submission packaging.; Status: On-track; stabilisation underway.; Notes: Entered final testing mode: reviewed known defects, prioritised fixes, and stopped feature additions. Discussed performance consistency, error handling, and ensuring the demo can run end-to-end with predictable outputs. Planned to summarise test results (what was tested, expected result, actual result) so documentation and presentation can cite evidence rather than claims. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Brian/Jiahui: continue stabilising and fix remaining defects.; Nevin: slides polish for timing and clarity.; Seoyoun: continue video progression; Dillon: finalise user manual.
MM-23,Week 18 Cleanup And Final Packaging Meeting,06-02-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun","Cleanup and final packaging meeting; Final tweaks and cleanup across code and artefacts.; Ensure slides, manual, documentation, video are near-final.; Prepare for final supervisor meeting and submission week.","Entered cleanup mode: remove dead code, organise repositories, ensure stable demo build.; Brian/Jiahui: code cleanup and integration consistency.; Nevin: PPT slides refinement.; Seoyoun: Marketing video polishing.; Dillon: User Manual polishing; Decisions: Freeze all content; focus only on polish and correctness.; Prepare clear narrative for final supervisor meeting (9 Feb) and final presentation.; Milestone: Final supervisor meeting (9 Feb) and submission deadline (14 Feb).; Status: On-track; artefacts near final form.; Notes: Cleanup and packaging: remove dead code, organise repos, ensure reproducible build steps, and keep a stable demo branch. Reviewed near-final slides, user manual, documentation, and marketing video. Agreed to freeze content except low-risk wording corrections and to prepare a clear narrative for the final supervisor meeting and submission week. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",All: Prepare questions for supervisor final meeting on presentation scoring expectations.; Brian/Jiahui: final code cleanup; ensure build reproducibility.; Nevin: finalise slides draft for supervisor feedback.; Seoyoun: finalise marketing video.; Jiahui/ Dillon: finalise documentation.
MM-24,Week 19-1 Final Supervisor Review And Presentation Recommendations Meeting,09-02-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun; Supervisor (Mr Tian)",Final supervisor review and presentation recommendations; Present near-final artefacts and demo flow.; Obtain supervisor recommendations on presentation framing.; Confirm priorities before submission and final presentation.,"Mr Tian provided final advice on presentation structure to highlight strongest project elements.; Emphasised clarity: show novelty and how spatial + textual + explainable aspects integrate; demo must be stable and align with documentation.; Recommended anticipating assessor questions and preparing evidence (screenshots, metrics, test results).; Decisions: Apply supervisor recommendations to slides and demo script.; Restrict changes to low-risk improvements to avoid destabilising build close to submission.; Milestone: Assessment 2 submission due 14 Feb.; Status: On-track; supervisor guidance obtained for final polish.; Notes: Final supervisor review focused on presentation framing: lead with the strongest integrated story (spatial + textual + explainable) and keep the demo stable. Discussed preparing for assessor questions using evidence such as screenshots, metrics, and test results. Agreed to apply only low-risk slide/script improvements close to submission to avoid destabilising the build. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",All: Ensure all only critical bug fixes; keep build stable. update slides narrative based on supervisor tips Ensure documentation.
MM-25,Week 19-2 Final Submission Consolidation Meeting,13-02-26,"Brian, Dillon, Nevin, Jiahui, Seoyoun","Final submission consolidation meeting; Final check of all submission components.; Confirm consistency across prototype, slides, manual, documentation, and contribution statement.; Lock submission artefacts.","Final consistency checks completed; ensured every deliverable aligns with what will be demonstrated.; Confirmed contribution statement ready and formatted.; Confirmed documentation reflects final test outcomes and workflows.; Decisions: Lock files for submission; only emergency corrections allowed after lock.; Shift focus to rehearsal and presentation performance for Week 20.; Milestone: Assessment 2 submission due 14 Feb.; Status: Completed/on-time (assumed) with files locked and finalised.; Notes: Submission lock meeting to verify every deliverable matches the demo and to prevent last-minute drift. Confirmed contribution statement formatting and that documentation reflects final testing outcomes. Planned fallback assets (screenshots/video) for presentation day. After lock, only emergency fixes allowed and rehearsal becomes the main focus. Tracked items in the shared drive/backlog and ensured meeting minutes stay current for traceability and audit trail.",Prepare for final presentation rehearsal and timing control.; Final slide polish and speaker notes.; Maintain stable demo build; prepare fallback screenshots/video.; Final documentation packaging; submission-ready.
